City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
busselton,-33.65,75.45,76,44,9.98
sandpoint,48.28,28.4,79,1,9.17
cape town,-33.93,68,72,0,9.17
gold coast,-28,80.6,74,0,17.22
ushuaia,-54.8,42.8,75,40,20.8
port macquarie,-31.43,80.6,42,44,13.87
hobart,-42.88,62.6,42,40,13.87
saskylakh,71.92,-11.81,58,64,4.72
luba,3.46,78.8,88,20,6.93
deep river,46.1,21.2,85,90,5.82
khatanga,71.97,-19.59,29,68,1.92
nova olimpia,-14.8,78.06,94,32,2.59
xining,36.62,16.5,34,0,3.6
teacapan,22.55,68.07,82,32,2.04
korla,41.76,9.12,69,0,2.93
riyadh,24.69,50,37,24,9.17
biltine,14.53,64.29,36,0,15.23
usinsk,65.99,19.52,89,88,5.84
kenai,60.55,33.8,100,90,11.41
yerofey pavlovich,53.97,-22.29,30,36,2.15
zhigansk,66.77,-24.63,37,44,8.75
bluff,-46.6,65.91,88,92,7.85
lebu,-37.62,53.4,98,0,19.48
bethel,41.37,36.79,51,40,5.82
vanimo,-2.67,84.9,100,32,11.21
kavieng,-2.57,82.47,100,88,4.38
carnarvon,-24.87,83.91,64,0,8.19
bengkulu,-3.8,83.01,98,48,10.98
geraldton,-28.77,100.4,42,0,24.16
rikitea,-23.12,78.6,98,80,13.67
viedma,-40.81,66.09,53,36,12.66
hithadhoo,-0.6,82.29,99,44,8.41
barrow,71.29,8.6,84,90,20.8
esperance,-33.87,75.05,54,0,4.61
touros,-5.2,78.15,92,92,8.63
thompson,55.74,-2.21,77,20,4.7
lovozero,68,13.08,86,88,2.37
jamestown,42.1,24.22,85,90,12.75
derzhavinsk,51.1,16.95,78,88,15.46
pingliang,35.54,21.72,63,68,3.38
vieques,18.43,78.8,83,40,9.17
mogadishu,2.04,80.72,98,0,22.06
albany,42.65,31.32,63,20,8.05
gubkinskiy,64.43,20.1,88,76,8.3
atuona,-9.8,80.72,100,8,18.25
ewa beach,21.32,77,61,75,9.17
karratha,-20.74,98.13,33,24,5.17
kahului,20.89,73.92,60,20,9.17
neiafu,-18.65,78.8,88,75,4.7
port alfred,-33.59,69.78,83,0,20.38
keroka,-0.78,58.58,92,8,3.71
abbeville,50.1,38.08,56,75,13.87
taitung,22.76,68,64,75,12.75
sibolga,1.74,77.25,86,24,1.59
saldanha,-33.01,64.4,82,0,16.11
guerrero negro,27.98,63.66,49,0,19.15
morgan city,29.7,43.39,87,90,13.87
kapaa,22.08,74.59,78,75,8.05
dikson,73.51,-0.78,100,8,14.23
masvingo,-20.06,56.1,97,92,11.77
yulara,-25.24,80.6,28,0,13.87
inirida,3.87,72.93,97,68,2.37
nioro,13.35,65.73,48,0,8.97
santiago del estero,-27.8,86.25,46,88,9.64
adrar,27.87,48.2,61,0,18.34
avarua,-21.21,75.2,94,90,2.24
sunnyvale,37.37,54.43,84,90,2.15
nome,64.5,19.4,85,1,16.11
kerema,-7.96,84.23,73,68,2.71
punta arenas,-53.15,44.6,70,40,18.34
luena,-11.78,62.31,99,92,3.94
dezhou,37.45,37.97,37,0,9.31
talnakh,69.49,-6.36,73,36,2.59
ilulissat,69.22,35.6,69,88,16.11
codrington,-38.27,60.47,95,12,12.77
salalah,17.02,71.6,43,0,8.05
fare,-16.7,83.15,93,44,13.89
hilo,19.73,67.03,57,1,8.05
sambava,-14.27,76.08,100,100,7.52
turayf,31.67,32,66,0,4.7
chuy,-33.7,62.94,94,0,5.17
tasiilaq,65.61,24.8,45,0,8.05
qaanaaq,77.48,12.18,96,80,14.9
lang son,21.83,54.66,82,68,14.12
ponta do sol,32.67,64.4,55,75,4.7
tuatapere,-46.13,66.81,78,92,6.96
taltal,-25.4,52.68,77,0,2.15
fortuna,40.6,48.2,87,1,8.05
buchanan,5.88,77,94,40,5.95
comodoro rivadavia,-45.87,71.6,35,0,17.22
cherskiy,68.75,-12.71,60,32,2.48
souillac,-20.52,73.4,94,75,3.36
vaini,-21.2,82.4,65,75,3.6
georgetown,6.8,75.2,94,40,4.7
olonets,60.98,20.46,86,92,7.85
lavrentiya,65.58,25.55,100,12,13.56
maniitsoq,65.42,33.2,93,92,22.62
vila franca do campo,37.72,66.2,82,40,18.34
new norfolk,-42.78,62.6,42,40,13.87
paramonga,-10.67,62.58,97,100,8.86
hermanus,-34.42,62.45,83,0,2.37
alofi,-19.06,77.03,100,92,8.41
karpathos,35.51,51.8,76,0,2.24
kununurra,-15.77,93.2,59,36,11.41
sorland,67.67,40.71,100,92,35.48
college station,30.63,33.82,91,90,6.93
tungawan,7.51,81.66,91,88,3.38
castro,-24.79,61.68,99,92,3.94
dano,11.15,63.08,58,0,3.15
hurricane,37.18,46.4,19,1,16.11
saint-philippe,-21.36,77,53,0,4.7
kamariotissa,40.48,35.6,93,0,8.97
basco,20.45,75.09,100,76,34.92
arlit,18.74,54.03,55,0,4.61
husavik,66.04,26.6,53,90,9.17
yellowknife,62.46,5,84,5,6.93
bredasdorp,-34.53,57.2,93,0,4.7
saint-joseph,-21.37,77,53,0,4.7
ostrovnoy,68.05,21.36,89,76,3.49
puerto ayora,-0.74,71.63,99,0,11.21
ilhabela,-23.78,71.13,98,80,7.18
tuktoyaktuk,69.45,6.8,92,90,10.29
gorontalo,0.54,85.62,77,12,2.59
butaritari,3.07,82.7,100,64,13.44
ranfurly,-45.13,66.27,62,92,6.62
kesinga,20.2,68.16,68,56,7.52
mount gambier,-37.83,61.82,69,32,6.4
aklavik,68.22,3.2,84,40,4.7
bambous virieux,-20.34,73.4,94,75,3.36
kruisfontein,-34,64.92,83,0,14.45
ahipara,-35.17,73.7,62,56,7.74
klaksvik,62.23,30.2,80,92,33.33
hamilton,43.23,25.92,68,75,10.29
stillwater,36.12,21.22,67,1,2.59
east london,-33.02,71.31,98,12,27.76
san cristobal,7.77,78.8,88,40,2.24
tessalit,20.2,49.58,63,0,2.71
kalmunai,7.42,76.58,92,8,4.27
buturlino,55.57,18.93,91,80,6.51
kavaratti,10.57,81.3,100,64,4.5
sitka,57.05,47.71,35,1,20.8
senador jose porfirio,-2.59,80.31,84,8,5.95
gazanjyk,39.24,30.77,92,92,3.04
ribeira grande,38.52,67.67,94,88,29.1
dumai,1.68,81.8,83,80,3.38
ancud,-41.87,52.86,85,64,2.93
ojinaga,29.57,26.76,92,80,7.85
trelew,-43.25,60.92,57,0,2.71
harnosand,62.63,36.54,93,0,11.41
naze,28.37,55.4,87,75,19.46
tiarei,-17.53,84.2,70,75,11.41
guiratinga,-16.35,73.92,93,76,2.59
provideniya,64.38,26.6,68,75,17.9
port elizabeth,-33.92,62.6,88,0,10.29
doka,13.52,66.09,65,0,9.98
port lincoln,-34.73,63.3,89,8,10.65
lompoc,34.64,54.73,34,1,5.82
tiksi,71.69,-25.94,40,44,2.93
port hardy,50.7,41,80,5,5.82
townsville,-19.25,87.8,62,20,14.99
natal,-5.79,78.8,83,40,5.82
ancona,43.6,44.6,75,0,5.82
bismarck,46.81,31.1,74,1,13.87
mar del plata,-38,53.6,87,0,2.24
igarka,67.47,-1.05,80,48,3.94
chapleau,47.84,12.2,92,90,2.24
berlevag,70.86,0.12,100,24,6.29
dalby,-27.18,69.8,88,0,14.99
lyubytino,58.81,19.47,88,80,13.22
rawson,-43.3,62.31,70,0,5.84
diego de almagro,-26.37,51.65,72,0,2.37
garbolovo,60.34,26.6,92,90,15.66
hobyo,5.35,76.71,76,0,17.13
kiama,-34.68,71.6,56,75,14.99
coari,-4.08,76.8,97,12,3.38
qaqortoq,60.72,30.2,58,92,2.24
arraial do cabo,-22.97,75.2,83,40,17.22
ilebo,-4.32,73.2,98,80,2.15
torbay,47.67,39.2,93,90,20.8
solok,-0.79,78.69,64,68,2.71
coruripe,-10.13,78.38,100,80,15.46
balud,10.15,87.8,66,20,5.82
harer,9.31,39.63,80,0,2.15
colon,9.36,79.65,83,40,4.7
faanui,-16.48,82.2,99,64,16.02
cravo norte,6.3,82.43,55,8,6.96
severo-kurilsk,50.68,31.26,100,44,10.42
bronnoysund,65.46,41,89,76,17.22
deputatskiy,69.3,-8.25,61,48,4.5
kendari,-3.94,87.69,79,24,4.05
muscat,23.61,57.2,76,0,2.24
kosh-agach,50,-19.64,22,0,2.48
nakonde,-9.34,63.62,90,12,7.4
shangzhi,45.22,8.31,51,36,6.96
los llanos de aridane,28.66,64.4,52,0,12.75
iqaluit,63.75,24.8,73,90,12.75
verkhoyansk,67.54,-41.06,0,68,3.04
victoria,48.43,37.69,100,40,3.36
chokurdakh,70.63,-8.66,67,36,7.18
todos santos,23.45,72.48,69,5,19.15
palmer,42.16,35.62,40,40,11.41
cabo san lucas,22.89,72.39,69,5,6.51
hasaki,35.73,42.8,70,75,4.7
norman wells,65.28,10.4,85,90,4.7
tutoia,-2.76,78.78,83,12,11.77
pangnirtung,66.15,21.2,79,75,5.82
atar,20.52,53.72,39,0,10.42
san andres,12.58,82.4,83,90,10.29
north platte,41.12,21.2,79,1,4.7
kunnamkulam,10.65,77.94,83,20,4.94
port hedland,-20.32,95,53,76,12.75
longyearbyen,78.22,26.6,73,75,28.86
ahuimanu,21.44,76.98,57,1,8.05
amparafaravola,-17.58,66.27,87,36,4.38
birjand,32.87,48.2,4,75,9.17
nhulunbuy,-12.23,91.4,59,40,12.75
luderitz,-26.65,62.6,93,44,5.82
nador,35.17,41.67,75,0,2.24
suffolk,52.17,36.18,100,90,17.22
nelson bay,-32.72,80.6,36,0,17.22
kodiak,57.79,41,100,90,4.7
lahij,13.06,52.5,95,0,2.48
willowmore,-33.29,57.68,90,8,2.93
pag,44.45,53.6,66,75,8.05
blythe,33.61,62.6,9,1,16.11
orangeburg,33.49,43.25,87,90,4.38
antofagasta,-23.65,62.6,77,40,11.41
manggar,-2.88,85.26,95,36,7.4
mahebourg,-20.41,73.4,94,75,3.36
ariquemes,-9.91,78.51,85,44,1.92
lebedinyy,58.52,-9.15,62,48,2.71
general roca,-39.03,77,44,0,5.82
morros,-9.45,72.12,96,36,2.93
narsaq,60.92,30.2,58,92,2.24
newport,51.59,39.36,69,40,21.92
pevek,69.7,15.15,92,80,14.79
atikokan,48.76,13.44,78,48,6.62
coaldale,49.72,35.6,43,75,16.11
nanortalik,60.14,34.05,91,92,30.33
andilamena,-17.02,63.75,90,44,2.93
elko,40.83,21.2,85,1,2.59
havoysund,71,14,72,0,11.41
aloleng,16.13,82.11,95,44,21.94
mount isa,-20.73,98.6,13,8,12.75
laguna,38.42,48.76,49,1,2.26
dudinka,69.41,-15,68,44,3.38
kirkwall,58.98,33.8,100,56,35.57
dwarka,22.24,70.14,100,0,13.78
muyezerskiy,63.93,15.47,84,88,7.07
hokitika,-42.72,65.6,95,100,8.97
balakhninskiy,58.01,10.11,61,68,8.75
wawa,9.9,67.13,54,8,6.29
prado,-17.34,77.61,100,92,7.96
puerto escondido,15.85,78.8,83,5,3.36
aripuana,-9.17,77.97,88,36,2.37
numan,9.47,66.23,76,36,3.71
pandan,14.05,83.19,98,64,3.15
crestview,30.76,44.22,81,90,9.17
chicama,-7.84,64.4,88,90,9.17
chubbuck,42.92,21.2,92,90,8.05
cockburn town,21.46,79.59,100,0,21.5
lodeynoye pole,60.73,18.98,82,76,9.64
tecoanapa,16.52,66.99,100,0,2.37
lima,-12.04,60.24,68,68,2.15
san patricio,19.22,78.8,74,5,11.41
trat,12.24,86,62,0,8.05
oconomowoc,43.11,19,57,1,6.93
peniche,39.36,49.69,87,0,3.36
vilyuysk,63.76,-23.73,35,64,6.4
upernavik,72.79,33.2,84,92,25.97
tshikapa,-6.42,72.03,100,88,1.36
atasu,48.68,12.99,68,48,13.67
jacareacanga,-6.22,75.54,93,48,1.59
muisne,0.6,71.85,93,36,4.94
mehamn,71.04,10.02,100,44,10.31
letterkenny,54.95,41.93,100,24,29.33
sao gabriel da cachoeira,-0.13,75.18,96,44,0.58
marrakesh,31.63,41,75,0,4.7
indiana,40,20.12,79,1,5.82
owando,-0.48,68.48,95,76,2.71
westport,41.14,40.08,51,40,5.82
sao filipe,14.9,76.67,98,20,11.54
leningradskiy,69.38,23.16,89,92,15.23
clyde river,70.47,6.8,77,40,9.17
saint augustine,29.89,53.46,93,90,17.22
djibo,14.1,61.73,41,44,6.4
manoel urbano,-8.84,75.81,92,0,2.04
northam,51.03,39.6,74,20,8.05
marsa matruh,31.35,57.68,64,92,6.29
salinas,36.68,54.55,87,1,2.04
cap malheureux,-19.98,73.4,94,75,3.36
bathsheba,13.22,78.8,83,20,14.99
pak phanang,8.35,82.4,88,20,2.24
muros,42.78,53.6,100,90,3.36
natchitoches,31.76,41.92,56,90,12.75
kauhajoki,62.43,33.8,95,90,11.41
altay,47.87,5.88,73,44,3.83
komsomolskiy,40.43,27.14,79,80,2.24
likasi,-10.98,64.97,99,44,8.75
roma,41.89,50.2,87,40,4.7
saint george,37.1,46.4,19,1,16.11
grindavik,63.84,20.44,79,0,3.36
gemena,3.25,70.77,97,48,1.92
sretensk,52.25,-3.03,58,32,3.94
turbat,26,36.48,62,0,3.15
weihai,37.5,40.26,100,88,22.17
victor harbor,-35.57,64.4,48,40,16.11
yenagoa,4.92,71.76,95,0,3.6
bonnyville,54.27,33.8,64,5,10.29
anjozorobe,-18.4,62.6,93,75,3.36
dawei,14.08,84.27,66,0,2.48
lasa,46.62,24.66,100,20,6.93
cidreira,-30.18,63.03,95,0,1.59
itigi,-5.7,63.84,90,20,7.96
miri,4.41,84.2,79,75,3.36
petauke,-14.24,68.43,80,44,11.65
poum,-20.23,79.28,100,24,15.12
beringovskiy,63.05,13.08,100,32,13
teya,60.38,19.52,74,80,5.39
rehoboth,-23.32,55.97,88,8,3.6
havelock,34.88,45.52,100,90,4.16
santa cruz,14.28,84.2,83,90,9.17
saint-augustin,51.23,26.13,100,0,11.32
kodinsk,58.69,23.48,75,88,7.4
hailar,49.2,2.46,63,0,4.27
presidencia roque saenz pena,-26.79,76.98,47,8,5.73
clarence town,-32.58,80.6,36,0,17.22
astana,51.18,5,92,0,8.95
ipilan,8.84,81.62,100,48,0.69
warri,5.52,73.43,97,36,4.61
kutum,14.2,50.7,51,0,11.88
diamantino,-14.41,76.08,90,0,2.37
jumla,29.27,29.28,78,0,1.92
bom jesus,-9.07,77.79,74,0,6.4
taoudenni,22.68,51.47,58,0,14.12
vung tau,10.35,86,74,40,1.12
krasnorechenskiy,44.63,3.32,45,0,8.19
troy,42.61,25.23,58,90,12.75
tura,25.52,67.71,81,36,5.06
vestmannaeyjar,63.44,24.42,100,0,12.66
samarai,-10.62,84.27,100,24,8.63
asau,46.43,30.2,100,0,3.36
umba,66.69,14.48,100,64,4.27
oswego,41.68,20.25,67,1,9.17
launceston,-41.45,66.2,37,40,11.41
dom pedro,-4.48,74.01,98,64,3.38
pryluky,50.59,35.9,95,92,10.76
yaroslavskaya,44.61,33.96,93,92,6.73
rocha,-34.48,58.71,94,0,3.71
rundu,-17.93,68,77,100,3.36
minas,-34.38,62.6,77,75,4.7
umm lajj,25.02,62.18,100,0,26.31
rock sound,24.9,75.05,100,92,15.79
marsassoum,12.83,66.2,88,0,2.24
angoram,-4.06,84.2,79,75,3.36
broome,-17.97,93.2,56,20,8.05
nauchnyy gorodok,53.42,12.2,85,90,2.24
presidente bernardes,-22.01,73.4,94,75,3.36
vicuna,-30.03,57.2,82,40,3.36
dali,25.7,52.95,86,0,2.15
kaka,37.35,32.34,58,0,4.27
uyar,55.81,17.18,83,56,9.98
kouango,4.99,74.1,77,64,3.27
highland park,42.18,21.22,57,1,15.68
hauterive,46.09,48.07,66,75,12.75
coihaique,-45.58,50,76,40,4.7
bontang,0.13,82.97,99,24,4.16
vestmanna,62.16,30.2,80,80,33.33
tigil,57.8,5.75,82,48,3.94
armacao de pera,37.1,44.6,81,0,3.36
lebanon,36.21,29.3,68,1,4.7
camargo,43.41,51.8,100,92,11.41
bagula,23.32,72.66,77,76,4.27
levokumka,44.23,30.2,100,90,6.71
saint-pierre,-21.34,77,53,0,4.7
hirara,24.8,63.52,88,75,17.22
ishigaki,24.34,62.6,82,75,20.8
chapais,49.78,8.6,92,90,4.7
guaymas,27.93,75.2,13,5,20.8
bonavista,48.65,32.7,100,0,15.23
constitucion,-35.33,53.63,97,0,9.75
ambon,-3.7,86.61,88,76,8.63
hay river,60.82,19.4,92,20,3.36
rio gallegos,-51.62,46.4,61,0,9.17
yumen,40.28,18.03,81,0,7.85
irondequoit,43.21,28.4,63,90,16.11
matamoros,25.53,41,93,90,10.29
kandi,11.13,65.28,66,20,2.93
zanjan,36.67,14.07,73,0,5.17
mortka,59.33,22.53,83,80,6.73
taksimo,56.34,12.77,53,36,5.95
penzance,50.12,42.8,70,40,16.11
santa maria,-29.68,73.4,78,0,9.17
fillan,63.61,39.2,69,75,6.93
kloulklubed,7.04,85.06,79,90,3.36
loukhi,66.08,11.55,88,80,5.39
qaracala,39.81,37.88,100,12,13.11
albanel,48.88,21.2,92,90,2.24
chumikan,54.72,-16.62,97,0,6.96
jinxiang,22.86,63.93,93,0,15.01
ouesso,1.61,72.57,97,68,1.14
nago,26.59,63.43,59,75,17.22
grand gaube,-20.01,73.4,94,75,3.36
morristown,36.21,34.61,74,1,5.84
bundaberg,-24.85,79.55,92,56,9.08
halifax,44.65,35.6,100,90,9.17
magdalena,14.2,84.2,83,90,9.17
namibe,-15.2,71.04,100,44,6.51
bardiyah,31.76,54.93,100,0,3.38
tsiroanomandidy,-18.77,65.19,92,20,5.28
necochea,-38.55,61.55,60,0,12.33
linjiang,41.81,7.41,70,44,4.61
praia da vitoria,38.73,66.2,88,20,24.52
paita,-5.09,70.73,79,12,5.73
bereznik,62.86,7.14,77,64,2.71
batouri,4.43,66.95,92,32,4.83
tadine,-21.55,78.69,94,88,13
bayonet point,28.33,66.92,100,90,5.82
venado tuerto,-33.75,74.37,52,0,8.08
solnechnyy,50.72,-19.95,29,12,3.49
khandbari,27.37,35.4,62,20,0.69
antsohihy,-14.88,74.19,95,48,4.94
mahibadhoo,3.78,81.3,100,0,6.29
poopo,-18.37,48.9,100,24,10.42
eureka,40.8,48.2,87,1,8.05
diffa,13.32,65.37,36,8,14
amahai,-3.33,84.09,100,76,10.76
sioux lookout,50.1,11.48,85,90,10.29
vila velha,-20.33,73.4,94,90,3.36
marabba,12.35,70.41,46,0,14.45
puerto narino,-3.77,78.8,94,40,3.94
romanovo,52.62,-3.93,65,12,6.17
port blair,11.67,80.9,100,68,15.12
half moon bay,37.46,54.25,89,90,4.05
hami,42.8,19.2,52,0,8.41
plouzane,48.38,44.15,70,75,10.29
tchollire,8.4,60.06,72,12,2.71
cabedelo,-6.98,78.8,74,40,3.36
chegdomyn,51.12,-24.63,34,12,2.82
sola,-13.88,83.46,96,32,2.37
nisia floresta,-6.09,78.8,83,40,5.82
skvyra,49.73,31.8,90,20,10.65
ararat,39.83,25.43,79,0,1.81
malmyzh,56.52,17.31,87,68,3.38
yar-sale,66.83,20.78,90,92,10.2
rypefjord,70.63,14,72,0,11.41
santa vitoria do palmar,-33.52,62.94,94,0,5.17
mukhen,48.1,-9.15,49,24,3.6
osmena,10.52,81.39,100,64,5.61
the valley,18.22,80.04,100,0,19.48
fomboni,-12.28,81.21,100,76,15.12
dunedin,-45.87,72.93,63,68,5.84
santa rosa,14.31,84.2,83,90,9.17
graaff-reinet,-32.25,58.35,76,0,2.37
pangody,65.85,19.52,90,88,7.96
kanniyakumari,8.08,80.63,100,76,4.05
boyolangu,-8.12,83.42,95,0,10.2
tianpeng,30.99,50,76,0,2.24
cayenne,4.93,77,94,76,2.24
kuala terengganu,5.33,80.6,78,75,9.17
casper,42.87,30.2,63,90,12.75
broken hill,-31.95,68.43,48,0,16.8
hambantota,6.12,76.8,100,68,2.26
starobaltachevo,56,25.1,91,88,6.62
ontario,34.06,69.69,5,40,28.86
brandon,27.94,68.04,93,90,4.7
banjar,-8.19,86,70,20,11.41
vamvakofiton,41.18,18.84,69,0,1.7
suruc,36.98,35.6,64,0,11.41
scarborough,54.28,34.92,77,24,10.29
abha,18.22,50,71,0,2.15
narasannapeta,18.42,65.82,97,100,6.85
abu dhabi,24.47,58.91,55,0,3.36
vanavara,60.34,15.65,72,68,6.17
fairbanks,64.84,27.09,92,90,9.17
berea,41.37,25.7,63,90,18.34
darhan,49.49,10.74,60,36,2.82
skibbereen,51.55,35.6,95,20,16.11
uusikaupunki,60.8,41,100,92,6.93
isangel,-19.55,79.37,100,68,4.94
sur,22.57,66.77,100,0,1.92
kaeo,-35.1,72.62,55,0,11.21
svetlyy,54.67,39.2,86,75,13.42
doctor arroyo,23.67,48.77,92,0,4.72
high level,58.52,24.8,79,20,2.93
nishihara,26.18,63.73,59,75,17.22
iskateley,67.68,18.35,85,88,9.75
buraydah,26.33,48.2,66,5,12.75
marovoay,-16.1,73.4,100,75,5.95
mweka,-4.85,71.58,98,56,2.59
minsk mazowiecki,52.18,35.6,74,20,6.93
pervomayskaya,43.4,30.72,98,92,2.15
price,39.6,26.6,35,1,6.93
walvis bay,-22.96,59,87,0,8.08
verkh-usugli,52.7,12.05,62,0,8.52
kirkuk,35.47,27.93,76,0,3.27
san clemente,33.43,70.11,9,1,4.7
areosa,41.72,51.8,100,75,10.29
bandarbeyla,9.49,77.25,100,92,16.13
shadrinsk,56.09,21.5,86,88,10.42
nouadhibou,20.93,64.4,36,0,19.46
guaruja,-23.99,69.8,83,20,1.12
veraval,20.9,67.89,100,12,11.43
bartica,6.4,75.2,94,40,4.7
alta floresta,-9.88,77.12,92,32,2.15
kudahuvadhoo,2.67,82.07,100,0,7.4
george,-33.96,59,93,20,1.12
anchorage,61.22,33.13,100,90,3.36
ormara,25.21,64.2,96,0,5.73
ponta delgada,37.73,66.2,88,75,17.22
honningsvag,70.98,17.67,100,56,15.79
menongue,-14.66,65.33,92,92,3.38
wanxian,30.8,43.5,80,64,3.6
noumea,-22.28,95,44,32,13.87
semporna,4.48,87.8,70,75,2.24
tres passos,-27.46,70.14,92,0,6.73
khandyga,62.67,-40.16,0,20,2.59
bubaque,11.28,71.6,64,0,5.82
ranong,9.97,86,74,20,1.12
farafangana,-22.82,71.85,100,80,2.93
moussoro,13.64,67.4,35,8,15.46
poso,-1.4,83.87,100,0,3.15
aksu,41.12,14.97,79,24,1.36
ipora,-16.44,74.73,87,68,2.71
sayyan,15.17,26.49,65,0,1.7
flinders,-34.58,71.6,56,75,14.99
paka,4.64,77,94,75,4.7
las vegas,36.17,51.44,11,1,6.06
krasnokamensk,50.1,5.75,69,12,5.84
yanam,16.73,77.12,60,36,9.98
ornskoldsvik,63.29,37.4,100,92,12.75
lander,42.83,25.65,73,1,3.36
buala,-8.14,85.13,86,64,6.96
okhotsk,59.38,-1.64,100,36,6.62
shenjiamen,29.96,51.33,100,0,26.19
porto santo,33.07,64.4,63,40,10.29
las cruces,32.31,30.4,74,1,4.7
oranjestad,12.52,82.4,74,20,18.34
akdepe,42.06,27.36,86,92,4.7
benguela,-12.58,75.09,100,48,3.15
marshall,32.54,37.24,43,75,5.82
nacogdoches,31.6,34.23,55,75,4.7
gillette,44.29,37.4,51,75,17.22
honolulu,21.31,76.98,50,75,6.93